Sequence name,Lineage,Conflict,Ambiguity score,Scorpio call,Scorpio support,Scorpio conflict,Note,pangolin version,pangolin-data version
hCoV-19/Costa_Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2047-656657/2021|EPI_ISL_7711807|2021-03-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Morocco/LRA211/2021|EPI_ISL_8132278|2021-07-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Iran/NIC-Sina8/2021|EPI_ISL_6832141|2021-02-06,B.1.1.7,0.5,,,,,Usher placements: B.1.1(1/2) B.1.1.7(1/2),4.1.3,v1.16
hCoV-19/Iran/NIC-Min6/2021|EPI_ISL_6832140|2021-02-15,B.1.1.7,0.0,,,,,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Iran/NIC-Min9/2021|EPI_ISL_6832142|2021-02-18,B.1.1.7,0.14285714285714285,,,,,Usher placements: B.1.1(1/7) B.1.1.7(6/7),4.1.3,v1.16
hCoV-19/Iran/NIC-Kah11/2021|EPI_ISL_6832144|2021-02-20,B.1.1.7,0.0,,,,,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Iran/NIC-Min5/2021|EPI_ISL_6832139|2021-02-15,B.1.1.7,0.0,,,,,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Costa_Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2085-670191/2021|EPI_ISL_7711799|2021-05-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Benin/NMIMR-LFVH402699/2021|EPI_ISL_7139998|2021-05-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(6/6),4.1.3,v1.16
hCoV-19/Austria/CeMM6740/2021|EPI_ISL_11229193|2021-03-10,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6734/2021|EPI_ISL_11229192|2021-03-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4739/2021|EPI_ISL_11229103|2021-02-22,B.1.1,0.0,,,,,Usher placements: B.1.1(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4738/2021|EPI_ISL_11229102|2021-02-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.78,0.09,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6270/2021|EPI_ISL_11229109|2021-03-13,B.1.1.7,0.0,,,,,Usher placements: B.1.1.7(4/4),4.1.3,v1.16
hCoV-19/Austria/CeMM6298/2021|EPI_ISL_11229115|2021-03-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(5/5),4.1.3,v1.16
hCoV-19/Austria/CeMM6317/2021|EPI_ISL_11229119|2021-03-13,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6346/2021|EPI_ISL_11229128|2021-03-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6329/2021|EPI_ISL_11229123|2021-03-13,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.13,Usher placements: B.1.1.7(2/2),4.1.3,v1.16
hCoV-19/Austria/CeMM6328/2021|EPI_ISL_11229122|2021-03-13,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4568/2021|EPI_ISL_11230278|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4567/2021|EPI_ISL_11230277|2021-02-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4566/2021|EPI_ISL_11230276|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6523/2021|EPI_ISL_11229282|2021-03-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6522/2021|EPI_ISL_11229280|2021-03-19,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4572/2021|EPI_ISL_11230282|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4571/2021|EPI_ISL_11230281|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4570/2021|EPI_ISL_11230280|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(2/2),4.1.3,v1.16
hCoV-19/Austria/CeMM4554/2021|EPI_ISL_11230267|2021-02-26,B.1.1,0.0,,,,,Usher placements: B.1.1(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4560/2021|EPI_ISL_11230271|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4559/2021|EPI_ISL_11230270|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4565/2021|EPI_ISL_11230275|2021-02-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4562/2021|EPI_ISL_11230273|2021-02-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
