Sequence name,Lineage,Conflict,Ambiguity score,Scorpio call,Scorpio support,Scorpio conflict,Note,pangolin version,pangolin-data version
hCoV-19/Malaysia/IMR_55147/2021|EPI_ISL_3120236|2021-05-20,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Malaysia/IMR_025826/2021|EPI_ISL_3120314|2021-06-21,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/CVL-IPP14896/2021|EPI_ISL_2931265|2021-06-25,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/South_Africa/KRISP-K019733/2021|EPI_ISL_3132631|2021-07-02,B.1.351,0.0,,Beta (B.1.351-like),0.79,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/South_Africa/KRISP-K019500/2021|EPI_ISL_3132522|2021-06-22,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Belgium/MBLGPF639753/2021|EPI_ISL_3133068|2021-07-19,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP14001/2021|EPI_ISL_2627975|2021-06-07,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/France/CVL-IPP13887/2021|EPI_ISL_2627963|2021-06-07,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-APHP-HEGP-15-32-2137029179/2021|EPI_ISL_2629025|2021-03-23,B.1.351,0.0,,Beta (B.1.351-like),0.79,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_13564/2021|EPI_ISL_3153999|2021-06-17,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14167/2021|EPI_ISL_3154319|2021-06-26,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
